a hand holding a spraying hose to a toilet bowl in a small toilet stall <eos>
a man on a red and on a street <eos> <eos> the bathroom bathroom <eos> <eos>

four jet airplanes flying straight up in the sky leaving a smoke trail <eos> <pad> <pad>
a giraffes flying flying through in in the sky <eos> <eos> building <eos> <eos> <eos> <eos>

night picture of a car parked and some parking lights in the distance <eos> <pad> <pad>
a with of a street parked on a trees lot <eos> the background <eos> <eos> <eos>

a pair of men and a dog standing on a snow covered hill <eos> <pad> <pad>
a man of sheep standing a red on on a bench <eos> field <eos> <eos> <eos>

people rides bicycles as a bus driver stands in front of the bus <eos> <pad> <pad>
a are on on a red on on on the of a street <eos> <eos> <eos>

an <oov> kitchen with oven sink cabinets microwave wood floor and a window <eos> <pad> <pad>
a airplane is with a and and and and <eos> <eos> white sink <eos> <eos> <eos>

an old bus being loaded with luggages as people with bicycles looks on <eos> <pad> <pad>
a airplane train parked on on a on the <eos> a <eos> <eos> the <eos> <eos>

a motorcycle and couple of bicycles sitting on rugs in a store <eos> <pad> <pad> <pad>
a man is a of people on on the <eos> the field <eos> <eos> <eos> <eos>

a man wearing a bike helmet standing next to a bicycle <eos> <pad> <pad> <pad> <pad>
a man is a motorcycle on on on to a building <eos> <eos> <eos> <eos> <eos>

a wooden bench next to a wall with a wooden door <eos> <pad> <pad> <pad> <pad>
a man bench sitting to a tree <eos> a toilet bench <eos> <eos> <eos> <eos> <eos>

an aerial view of several <oov> cars on a narrow road <eos> <pad> <pad> <pad> <pad>
a airplane is of a people on on the street street <eos> <eos> <eos> <eos> <eos>

a black and white car peeping through a glass window <eos> <pad> <pad> <pad> <pad> <pad>
a man and white photo parked on the street <eos> <eos> <eos> <eos> <eos> <eos> <eos>

a blue plane is at the terminal of an airport <eos> <pad> <pad> <pad> <pad> <pad>
a man and flying flying the runway <eos> a airport <eos> <eos> <eos> <eos> <eos> <eos>

a green traffic signal at an intersection in a town <eos> <pad> <pad> <pad> <pad> <pad>
a man and light with a airport with the field <eos> <eos> <eos> <eos> <eos> <eos>

a narrow bathroom with a sink mirrors and a shower <eos> <pad> <pad> <pad> <pad> <pad>
a man bathroom with a toilet and and a toilet <eos> <eos> <eos> <eos> <eos> <eos>

a clean toilet in a bathroom with a cement floor <eos> <pad> <pad> <pad> <pad> <pad>
a man bathroom and the bathroom with a toilet <eos> <eos> <eos> <eos> <eos> <eos> <eos>

a group of cars parked in a lot behind buildings <eos> <pad> <pad> <pad> <pad> <pad>
a man of people parked on the field of it <eos> <eos> <eos> <eos> <eos> <eos>

an old man in a suit and tie is staring <eos> <pad> <pad> <pad> <pad> <pad>
a airplane airplane sitting a kitchen on a <eos> sitting <eos> <eos> <eos> <eos> <eos> <eos>

a plane begins to land as seen from the street <eos> <pad> <pad> <pad> <pad> <pad>
a man flying on a on the on the sky <eos> <eos> <eos> <eos> <eos> <eos>

a bathroom with the sink and medicine cabinet visible <eos> <pad> <pad> <pad> <pad> <pad> <pad>
a man with a toilet and toilet toilet <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos>

a street sign with a building in the background <eos> <pad> <pad> <pad> <pad> <pad> <pad>
a man sign on a red and the background <eos> <eos> <eos> <eos> <eos> <eos> <eos>

various items sit on top of tables and counters <eos> <pad> <pad> <pad> <pad> <pad> <pad>
a sheep on on the of a <eos> a <eos> <eos> <eos> <eos> <eos> <eos> <eos>

old fashioned planes in a line on the ground <eos> <pad> <pad> <pad> <pad> <pad> <pad>
a man bus on the kitchen of the street <eos> <eos> <eos> <eos> <eos> <eos> <eos>

eight jets in the sky in a flying formation <eos> <pad> <pad> <pad> <pad> <pad> <pad>
a and on a kitchen with the kitchen in <eos> <eos> <eos> <eos> <eos> <eos> <eos>

a cat sitting outside on some cobble stone <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
a man is on of a grass of wall <eos> <eos> <eos> <eos> <eos> <eos> <eos>

a dirty worn down kitchen a door scene <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
a man bathroom and the with wooden and <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos>

a bathroom counter decorated with vines and flowers <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
a man with with with a and white <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos>

horse grazing in field next to old church <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
a on on a with to a building <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos>

a giraffe standing next to a tour jeep <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
a man standing next to a tree bus <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos>

a multiple shelf computer desk with two monitors <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
a man airplane with on with a people <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos>

plane flying high in a clear blue sky <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
a flying over over the field sky sky <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos>

a plane flying high in a blue sky <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
a man flying through over the field sky <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos>

